fecha,I
27/03/2009,1
28/03/2009,2
29/03/2009,5
30/03/2009,7
31/03/2009,4
01/04/2009,10
02/04/2009,10
03/04/2009,9
04/04/2009,3
05/04/2009,4
06/04/2009,11
07/04/2009,5
08/04/2009,7
09/04/2009,4
10/04/2009,4
11/04/2009,4
12/04/2009,11
13/04/2009,17
14/04/2009,26
15/04/2009,20
16/04/2009,12
17/04/2009,26
18/04/2009,32
19/04/2009,44
20/04/2009,110
21/04/2009,112
22/04/2009,151
23/04/2009,225
24/04/2009,278
25/04/2009,316
26/04/2009,395
27/04/2009,410
28/04/2009,304
29/04/2009,278
30/04/2009,227
01/05/2009,207
02/05/2009,185
03/05/2009,210
04/05/2009,232
05/05/2009,228
06/05/2009,232
07/05/2009,175
08/05/2009,165
09/05/2009,138
10/05/2009,138
11/05/2009,161
12/05/2009,133
13/05/2009,115
14/05/2009,97
15/05/2009,82
16/05/2009,73
17/05/2009,87
18/05/2009,96
19/05/2009,71
20/05/2009,71
21/05/2009,77
22/05/2009,65
23/05/2009,67
24/05/2009,67
25/05/2009,61
26/05/2009,84
27/05/2009,53
28/05/2009,62
29/05/2009,69
30/05/2009,64
31/05/2009,71
01/06/2009,148
02/06/2009,112
03/06/2009,139
04/06/2009,131
05/06/2009,121
06/06/2009,140
07/06/2009,172
08/06/2009,205
09/06/2009,190
10/06/2009,234
11/06/2009,184
12/06/2009,177
13/06/2009,167
14/06/2009,216
15/06/2009,200
16/06/2009,204
17/06/2009,224
18/06/2009,201
19/06/2009,185
20/06/2009,193
21/06/2009,275
22/06/2009,305
23/06/2009,301
24/06/2009,310
25/06/2009,266
26/06/2009,316
27/06/2009,300
28/06/2009,350
29/06/2009,334
30/06/2009,267
01/07/2009,229
02/07/2009,195
03/07/2009,216
04/07/2009,203
05/07/2009,304
06/07/2009,290
07/07/2009,213
08/07/2009,248
09/07/2009,202
10/07/2009,154
11/07/2009,154
12/07/2009,206
13/07/2009,229
14/07/2009,208
15/07/2009,181
16/07/2009,135
17/07/2009,111
18/07/2009,126
19/07/2009,162
20/07/2009,173
21/07/2009,181
22/07/2009,166
23/07/2009,142
24/07/2009,109
25/07/2009,118
26/07/2009,154
27/07/2009,192
28/07/2009,195
29/07/2009,158
30/07/2009,139
31/07/2009,89
01/08/2009,71
02/08/2009,125
03/08/2009,105
04/08/2009,77
05/08/2009,48
06/08/2009,49
07/08/2009,29
08/08/2009,35
09/08/2009,48
10/08/2009,41
11/08/2009,29
12/08/2009,19
13/08/2009,13
14/08/2009,5
15/08/2009,4
16/08/2009,3
17/08/2009,2
